target_id,model_id,probability,target_round,target_result,target_reward,target_regret
75,model5_lgbm,1.0,0,0,0,0
75,model_baseline,0.0,0,0,0,0
78,model1_rf,0.0,0,0,0,0
78,model2_lr,0.0,0,0,0,0
78,model3_lr,0.0,0,0,0,0
78,model4_xgb,0.0,0,0,0,0
78,model5_lgbm,0.0,0,0,0,0
78,model_baseline,0.0,0,0,0,0
79,model1_rf,0.0,0,0,0,0
79,model2_lr,0.0,0,0,0,0
79,model3_lr,0.0,0,0,0,0
79,model4_xgb,0.0,0,0,0,0
79,model5_lgbm,0.0,0,0,0,0
79,model_baseline,1.0,0,0,0,0
80,model1_rf,0.0,0,0,0,0
80,model2_lr,0.0,0,0,0,0
80,model3_lr,0.0,0,0,0,0
80,model4_xgb,1.0,0,0,0,0
80,model5_lgbm,0.0,0,0,0,0
80,model_baseline,1.0,0,0,0,0
83,model1_rf,0.0,0,0,0,0
83,model2_lr,0.0,0,0,0,0
83,model3_lr,0.0,0,0,0,0
83,model4_xgb,0.0,0,0,0,0
83,model5_lgbm,0.0,0,0,0,0
83,model_baseline,1.0,0,0,0,0
84,model1_rf,0.0,0,0,0,0
84,model2_lr,0.0,0,0,0,0
84,model3_lr,0.0,0,0,0,0
84,model4_xgb,1.0,0,0,0,0
84,model5_lgbm,0.0,0,0,0,0
84,model_baseline,1.0,0,0,0,0
86,model1_rf,0.0,0,0,0,0
86,model2_lr,0.0,0,0,0,0
86,model3_lr,0.0,0,0,0,0
86,model4_xgb,1.0,0,0,0,0
86,model5_lgbm,0.0,0,0,0,0
86,model_baseline,1.0,0,0,0,0
87,model1_rf,0.0,0,0,0,0
87,model2_lr,0.0,0,0,0,0
87,model3_lr,0.0,0,0,0,0
87,model4_xgb,1.0,0,0,0,0
87,model5_lgbm,1.0,0,0,0,0
87,model_baseline,0.0,0,0,0,0
89,model1_rf,0.0,0,0,0,0
89,model2_lr,1.0,0,0,0,0
89,model3_lr,1.0,0,0,0,0
89,model4_xgb,1.0,0,0,0,0
89,model5_lgbm,1.0,0,0,0,0
89,model_baseline,1.0,0,0,0,0
91,model1_rf,1.0,0,0,0,0
91,model2_lr,1.0,0,0,0,0
91,model3_lr,0.0,0,0,0,0
91,model4_xgb,1.0,0,0,0,0
91,model5_lgbm,1.0,0,0,0,0
